"year","round","race_name","circuit","circuit_type","country","location","driver","driver_nationality","constructor","constructor_nationality","grid","position","points","status","q1","q2","q3","qualifying_position","constructor_prestige"
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Hamilton","British","McLaren","British",11,"6",8,"Finished","1:25.046","1:25.184","\N",11,3
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Liuzzi","Italian","Force India","Indian",13,"7",6,"Finished","1:26.170","1:25.743","\N",13,5
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Barrichello","Brazilian","Williams","British",8,"8",4,"Finished","1:25.702","1:25.085","1:25.217",8,4
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Webber","Australian","Red Bull","Austrian",2,"9",2,"Finished","1:25.286","1:24.276","1:24.035",2,2
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Schumacher","German","Mercedes","German",7,"10",1,"Finished","1:25.351","1:24.871","1:24.927",7,1
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Alguersuari","Spanish","Toro Rosso","Italian",17,"11",0,"Finished","1:26.095","1:26.089","\N",17,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","de la Rosa","Spanish","Sauber","Swiss",14,"12",0,"Finished","1:26.089","1:25.747","\N",14,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Kovalainen","Finnish","Lotus","Malaysian",19,"13",0,"+2 Laps","1:28.797","\N","\N",19,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Chandhok","Indian","HRT","Spanish",22,"14",0,"+5 Laps","1:30.613","\N","\N",24,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Glock","German","Virgin","British",23,"\N",0,"Suspension","1:29.592","\N","\N",21,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","di Grassi","Brazilian","Virgin","British",24,"\N",0,"Hydraulics","1:30.185","\N","\N",22,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Vettel","German","Red Bull","Austrian",1,"\N",0,"Wheel","1:24.774","1:24.096","1:23.919",1,2
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Sutil","German","Force India","Indian",10,"\N",0,"Engine","1:25.504","1:25.046","1:26.036",10,5
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Petrov","Russian","Renault","French",18,"\N",0,"Spun off","1:26.471","\N","\N",18,4
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Senna","Brazilian","HRT","Spanish",21,"\N",0,"Hydraulics","1:30.526","\N","\N",23,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Buemi","Swiss","Toro Rosso","Italian",12,"\N",0,"Collision","1:26.061","1:25.638","\N",12,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Hülkenberg","German","Williams","British",15,"\N",0,"Collision","1:25.866","1:25.748","\N",15,4
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Kobayashi","Japanese","Sauber","Swiss",16,"\N",0,"Collision","1:26.251","1:25.777","\N",16,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Trulli","Italian","Lotus","Malaysian",20,"\N",0,"Hydraulics","1:29.111","\N","\N",20,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Vettel","German","Red Bull","Austrian",3,"1",25,"Finished","1:47.632","1:46.828","1:50.789",3,2
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Webber","Australian","Red Bull","Austrian",1,"2",18,"Finished","1:51.886","1:48.210","1:49.327",1,2
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Rosberg","German","Mercedes","German",2,"3",15,"Finished","1:52.560","1:47.417","1:50.673",2,1
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Kubica","Polish","Renault","French",6,"4",12,"Finished","1:46.283","1:46.951","1:51.051",6,4
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Sutil","German","Force India","Indian",4,"5",10,"Finished","1:49.479","1:47.085","1:50.914",4,5
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Hamilton","British","McLaren","British",20,"6",8,"Finished","1:53.050","\N","\N",20,3
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Massa","Brazilian","Ferrari","Italian",21,"7",6,"Finished","1:53.283","\N","\N",21,2
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Button","British","McLaren","British",17,"8",4,"Finished","1:52.211","\N","\N",17,3
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Alguersuari","Spanish","Toro Rosso","Italian",14,"9",2,"Finished","1:48.655","1:49.464","\N",14,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Hülkenberg","German","Williams","British",5,"10",1,"Finished","1:49.664","1:47.346","1:51.001",5,4
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Buemi","Swiss","Toro Rosso","Italian",13,"11",0,"Finished","1:48.945","1:49.207","\N",13,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Barrichello","Brazilian","Williams","British",7,"12",0,"+1 Lap","1:50.301","1:48.371","1:51.511",7,4
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Alonso","Spanish","Ferrari","Italian",19,"13",0,"Engine","1:53.044","\N","\N",19,2
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","di Grassi","Brazilian","Virgin","British",24,"14",0,"+3 Laps","1:59.977","\N","\N",24,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Chandhok","Indian","HRT","Spanish",22,"15",0,"+3 Laps","1:56.299","\N","\N",22,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Senna","Brazilian","HRT","Spanish",23,"16",0,"+4 Laps","1:57.269","\N","\N",23,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Trulli","Italian","Lotus","Malaysian",18,"17",0,"+5 Laps","1:52.884","\N","\N",18,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Kovalainen","Finnish","Lotus","Malaysian",15,"\N",0,"+10 Laps","1:52.875","1:52.270","\N",15,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Petrov","Russian","Renault","French",11,"\N",0,"Gearbox","1:47.952","1:48.760","\N",11,4
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Liuzzi","Italian","Force India","Indian",10,"\N",0,"Throttle","1:49.922","1:48.238","1:52.254",10,5
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Schumacher","German","Mercedes","German",8,"\N",0,"Wheel","1:52.239","1:48.400","1:51.717",8,1
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Kobayashi","Japanese","Sauber","Swiss",9,"\N",0,"Engine","1:48.467","1:47.792","1:51.767",9,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","Glock","German","Virgin","British",16,"\N",0,"Spun off","1:52.398","1:52.520","\N",16,6
2010,3,"Malaysian Grand Prix","Sepang International Circuit","Permanent Race Circuit","Malaysia","Kuala Lumpur","de la Rosa","Spanish","Sauber","Swiss",12,"\N",0,"Engine","1:47.153","1:48.771","\N",12,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Button","British","McLaren","British",5,"1",25,"Finished","1:36.122","1:35.443","1:34.979",5,3
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Hamilton","British","McLaren","British",6,"2",18,"Finished","1:35.641","1:34.928","1:35.034",6,3
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Rosberg","German","Mercedes","German",4,"3",15,"Finished","1:35.952","1:35.134","1:34.923",4,1
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Alonso","Spanish","Ferrari","Italian",3,"4",12,"Finished","1:35.987","1:35.235","1:34.913",3,2
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Kubica","Polish","Renault","French",8,"5",10,"Finished","1:36.348","1:35.550","1:35.364",8,4
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Vettel","German","Red Bull","Austrian",1,"6",8,"Finished","1:36.317","1:35.280","1:34.558",1,2
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Petrov","Russian","Renault","French",14,"7",6,"Finished","1:37.031","1:36.311","\N",14,4
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Webber","Australian","Red Bull","Austrian",2,"8",4,"Finished","1:35.978","1:35.100","1:34.808",2,2
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Massa","Brazilian","Ferrari","Italian",7,"9",2,"Finished","1:36.076","1:35.290","1:35.180",7,2
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Schumacher","German","Mercedes","German",9,"10",1,"Finished","1:36.484","1:35.715","1:35.646",9,1
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Sutil","German","Force India","Indian",10,"11",0,"Finished","1:36.671","1:35.665","1:35.963",10,5
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Barrichello","Brazilian","Williams","British",11,"12",0,"Finished","1:36.664","1:35.748","\N",11,4
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Alguersuari","Spanish","Toro Rosso","Italian",12,"13",0,"Finished","1:36.618","1:36.047","\N",12,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Kovalainen","Finnish","Lotus","Malaysian",21,"14",0,"+1 Lap","1:39.520","\N","\N",21,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Hülkenberg","German","Williams","British",16,"15",0,"+1 Lap","1:37.049","1:36.647","\N",16,4
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Senna","Brazilian","HRT","Spanish",23,"16",0,"+2 Laps","1:40.469","\N","\N",23,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Chandhok","Indian","HRT","Spanish",24,"17",0,"+4 Laps","1:40.578","\N","\N",24,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Trulli","Italian","Lotus","Malaysian",20,"\N",0,"Hydraulics","1:39.399","\N","\N",20,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","di Grassi","Brazilian","Virgin","British",22,"\N",0,"Clutch","1:39.783","\N","\N",22,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","de la Rosa","Spanish","Sauber","Swiss",17,"\N",0,"Technical","1:37.050","1:37.020","\N",17,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Buemi","Swiss","Toro Rosso","Italian",13,"\N",0,"Accident","1:36.793","1:36.149","\N",13,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Kobayashi","Japanese","Sauber","Swiss",15,"\N",0,"Accident","1:37.044","1:36.422","\N",15,6
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Liuzzi","Italian","Force India","Indian",18,"\N",0,"Accident","1:37.161","\N","\N",18,5
2010,4,"Chinese Grand Prix","Shanghai International Circuit","Permanent Race Circuit","China","Shanghai","Glock","German","Virgin","British",19,"\N",0,"Engine","1:39.278","\N","\N",19,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Webber","Australian","Red Bull","Austrian",1,"1",25,"Finished","1:21.412","1:20.655","1:19.995",1,2
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Alonso","Spanish","Ferrari","Italian",4,"2",18,"Finished","1:21.957","1:21.549","1:20.937",4,2
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Vettel","German","Red Bull","Austrian",2,"3",15,"Finished","1:21.680","1:20.772","1:20.101",2,2
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Schumacher","German","Mercedes","German",6,"4",12,"Finished","1:22.528","1:21.557","1:21.294",6,1
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Button","British","McLaren","British",5,"5",10,"Finished","1:21.915","1:21.168","1:20.991",5,3
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Massa","Brazilian","Ferrari","Italian",9,"6",8,"Finished","1:22.564","1:21.841","1:21.585",9,2
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Sutil","German","Force India","Indian",11,"7",6,"Finished","1:22.628","1:21.985","\N",11,5
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Kubica","Polish","Renault","French",7,"8",4,"Finished","1:22.488","1:21.599","1:21.353",7,4
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Barrichello","Brazilian","Williams","British",17,"9",2,"+1 Lap","1:23.125","\N","\N",18,4
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Alguersuari","Spanish","Toro Rosso","Italian",15,"10",1,"+1 Lap","1:22.593","1:22.207","\N",16,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Petrov","Russian","Renault","French",19,"11",0,"+1 Lap","1:22.976","1:22.139","\N",14,4
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Kobayashi","Japanese","Sauber","Swiss",10,"12",0,"+1 Lap","1:22.577","1:21.725","1:21.984",10,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Rosberg","German","Mercedes","German",8,"13",0,"+1 Lap","1:22.419","1:21.867","1:21.408",8,1
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Hamilton","British","McLaren","British",3,"14",0,"Puncture","1:21.723","1:21.415","1:20.829",3,3
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Liuzzi","Italian","Force India","Indian",16,"15",0,"Engine","1:23.084","1:22.854","\N",17,5
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Hülkenberg","German","Williams","British",13,"16",0,"+2 Laps","1:22.857","1:22.131","\N",13,4
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Trulli","Italian","Lotus","Malaysian",18,"17",0,"+3 Laps","1:24.674","\N","\N",19,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Glock","German","Virgin","British",22,"18",0,"+3 Laps","1:25.475","\N","\N",21,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","di Grassi","Brazilian","Virgin","British",23,"19",0,"+4 Laps","1:25.556","\N","\N",22,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Buemi","Swiss","Toro Rosso","Italian",14,"\N",0,"Hydraulics","1:22.699","1:22.191","\N",15,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Chandhok","Indian","HRT","Spanish",24,"\N",0,"Suspension","1:26.750","\N","\N",23,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","de la Rosa","Spanish","Sauber","Swiss",12,"\N",0,"Collision","1:22.211","1:22.026","\N",12,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Senna","Brazilian","HRT","Spanish",21,"\N",0,"Accident","1:27.122","\N","\N",24,6
2010,5,"Spanish Grand Prix","Circuit de Barcelona-Catalunya","Permanent Race Circuit","Spain","Montmeló","Kovalainen","Finnish","Lotus","Malaysian",20,"\N",0,"Gearbox","1:24.748","\N","\N",20,6
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Webber","Australian","Red Bull","Austrian",1,"1",25,"Finished","1:15.035","1:14.462","1:13.826",1,2
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Vettel","German","Red Bull","Austrian",3,"2",18,"Finished","1:15.110","1:14.568","1:14.227",3,2
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Kubica","Polish","Renault","French",2,"3",15,"Finished","1:15.045","1:14.549","1:14.120",2,4
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Massa","Brazilian","Ferrari","Italian",4,"4",12,"Finished","1:14.757","1:14.405","1:14.283",4,2
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Hamilton","British","McLaren","British",5,"5",10,"Finished","1:15.676","1:14.527","1:14.432",5,3
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Alonso","Spanish","Ferrari","Italian",24,"6",8,"Finished","\N","\N","\N",24,2
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Rosberg","German","Mercedes","German",6,"7",6,"Finished","1:15.188","1:14.375","1:14.544",6,1
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Sutil","German","Force India","Indian",12,"8",4,"Finished","1:15.445","1:15.318","\N",12,5
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Liuzzi","Italian","Force India","Indian",10,"9",2,"Finished","1:15.397","1:15.061","1:15.170",10,5
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Buemi","Swiss","Toro Rosso","Italian",13,"10",1,"Finished","1:15.961","1:15.413","\N",13,6
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Alguersuari","Spanish","Toro Rosso","Italian",17,"11",0,"Finished","1:16.021","1:16.176","\N",17,6
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Schumacher","German","Mercedes","German",7,"12",0,"Finished","1:15.649","1:14.691","1:14.590",7,1
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Petrov","Russian","Renault","French",14,"13",0,"Brakes","1:15.482","1:15.576","\N",14,4
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Chandhok","Indian","HRT","Spanish",23,"14",0,"Collision","1:19.559","\N","\N",23,6
2010,6,"Monaco Grand Prix","Circuit de Monaco","Street Circuit","Monaco","Monte-Carlo","Trulli","Italian","Lotus","Malaysian",19,"15",0,"Collision","1:17.134","\N","\N",19,6
